run_id,stage,task,solver,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,cost
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,1,1.05069160824
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0,1.0155762973
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.005,1.0155762973
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.01,1.0155762973
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.02,1.0155762973
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.03,1.01623058001
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.04,1.01623058001
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.05,1.01733172231
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.06,1.01733172231
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.08,1.01733172231
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.1,1.01733172231
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.15,1.03041547456
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.2,1.05203416457
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.3,1.06409380519
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.5,1.06409380519
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,0.75,1.06409380519
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.125,1,1.06409380519
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0,1.04114840126
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.005,1.04114840126
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.01,1.04114840126
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.02,1.04114840126
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.03,1.03924226739
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.04,1.03924226739
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.05,1.04002406255
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.06,1.04002406255
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.08,1.04002406255
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.1,1.04002406255
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.15,1.05013830052
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.2,1.06762436455
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.3,1.07665969
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.5,1.07665969
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,0.75,1.07665969
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.25,1,1.07665969
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0,1.06566681896
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.005,1.06566681896
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.01,1.06566681896
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.02,1.06566681896
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.03,1.06050093018
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.04,1.06050093018
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.05,1.06102117157
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.06,1.06102117157
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.08,1.06102117157
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.1,1.06102117157
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.15,1.06843102742
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.2,1.08219074769
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.3,1.08846404077
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.5,1.08846404077
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,0.75,1.08846404077
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.375,1,1.08846404077
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0.5,0,1.08923994451
